Date,driver_number,start_point,end_point,distance_travelled,speed,start_time,end_time,driver_rating,fare_amount,weather_conditions,traffic_conditions,payment_method,passenger_count,duration,route_taken
06/12/2026,1,38 Arrowood Alley,48 Farwell Hill,5.04,85.94,1/29/2022,5/28/2022,3.8,71.33,cloudy,heavy,credit card,3,145,back roads
06/12/2026,6,1045 Schiller Parkway,3926 Stephen Center,6.55,141.04,2/13/2022,4/22/2022,2.8,62.6,cloudy,light,credit card,4,13,city streets
06/12/2026,2,22 Basil Plaza,00 Rowland Street,9.03,114.63,3/18/2022,3/28/2022,1.8,58.16,sunny,light,mobile payment,4,253,city streets
06/12/2026,3,46343 Londonderry Avenue,57 Talisman Plaza,30.07,94.59,2/13/2022,8/27/2022,3.2,67.69,snowy,light,credit card,4,409,back roads
06/12/2026,7,88 Westend Avenue,9903 Moland Point,44.21,10.48,3/20/2022,9/15/2022,2.4,76.57,snowy,heavy,cash,1,299,back roads
06/12/2026,7,380 Hovde Crossing,5933 Sunbrook Road,4.1,120.44,6/11/2022,7/25/2022,4.1,93.72,sunny,light,cash,5,30,back roads
06/12/2026,3,62442 Nevada Place,199 Oak Junction,9.27,72.8,4/14/2022,6/11/2022,1.9,18.56,sunny,heavy,credit card,4,487,city streets
06/12/2026,9,350 Schlimgen Center,87182 Warner Point,15.56,141.1,4/23/2022,3/16/2022,3.2,94.42,snowy,heavy,mobile payment,3,568,back roads
06/12/2026,2,7 Myrtle Alley,97321 Rigney Point,15.99,142.0,7/17/2022,8/21/2022,3.6,36.37,cloudy,moderate,credit card,1,80,back roads
06/12/2026,4,1117 Warbler Court,1 Nelson Circle,15.83,26.63,7/19/2022,2/4/2022,1.2,0.39,cloudy,light,mobile payment,3,3,highway
06/12/2026,4,9 Buena Vista Drive,4022 Blaine Junction,23.06,103.59,4/29/2022,4/5/2022,4.2,63.44,cloudy,moderate,credit card,1,91,back roads
06/12/2026,6,687 Derek Road,054 Sachtjen Way,7.88,107.61,7/6/2022,7/24/2022,2.1,18.54,sunny,heavy,mobile payment,2,534,back roads
06/12/2026,1,61826 Monterey Place,2898 Service Place,40.3,19.27,8/13/2022,4/19/2022,2.7,37.07,sunny,light,cash,1,412,highway
06/12/2026,5,11674 Kedzie Crossing,3093 Birchwood Junction,30.34,46.43,6/7/2022,7/20/2022,3.0,73.65,sunny,light,cash,1,401,highway
06/12/2026,8,33511 Summer Ridge Circle,58 Emmet Center,8.49,89.11,4/25/2022,2/22/2022,2.9,69.81,cloudy,light,cash,4,14,highway
06/12/2026,4,34616 Beilfuss Drive,0 Stuart Pass,17.15,144.9,3/25/2022,6/8/2022,4.5,75.63,snowy,light,credit card,2,502,back roads
06/12/2026,5,0117 Morrow Drive,76167 Nelson Point,28.98,33.33,9/4/2022,1/6/2022,2.1,16.28,sunny,moderate,mobile payment,3,259,highway
06/12/2026,5,107 Luster Place,8362 Banding Road,23.86,147.55,3/18/2022,8/22/2022,1.5,98.13,snowy,heavy,cash,2,583,highway
06/12/2026,4,09 Kensington Park,2232 Mockingbird Street,36.37,48.32,6/18/2022,2/25/2022,1.5,55.49,cloudy,light,cash,1,279,highway
06/12/2026,4,62963 Brown Terrace,97 Bluejay Road,25.24,126.97,4/11/2022,7/9/2022,1.4,33.51,cloudy,moderate,credit card,5,477,city streets
06/12/2026,3,90 Briar Crest Road,1882 Starling Crossing,25.36,52.15,8/29/2022,10/15/2022,2.6,84.98,snowy,moderate,credit card,2,372,city streets
06/12/2026,5,61331 Bayside Hill,82 Granby Lane,37.04,139.8,5/2/2022,4/7/2022,1.4,27.83,sunny,moderate,credit card,1,19,back roads
06/12/2026,2,0271 Larry Alley,3136 Dakota Place,33.37,139.45,5/28/2022,5/20/2022,3.2,5.41,sunny,light,cash,2,234,city streets
06/12/2026,1,9 Lindbergh Terrace,817 Hovde Court,12.73,9.95,8/15/2022,4/19/2022,3.0,37.49,sunny,moderate,cash,2,290,highway
06/12/2026,8,0 Scott Court,03 Ronald Regan Park,33.22,70.9,1/9/2022,4/2/2022,3.4,88.73,sunny,moderate,cash,2,338,city streets
06/12/2026,4,515 Spaight Place,0 Michigan Center,3.03,13.29,8/4/2022,3/6/2022,4.9,7.38,snowy,heavy,mobile payment,1,126,back roads
06/12/2026,7,304 Colorado Center,7571 Saint Paul Street,27.22,23.15,7/26/2022,11/7/2022,2.1,43.28,snowy,heavy,credit card,5,414,city streets
06/12/2026,1,7 Larry Street,5361 Bay Street,28.07,147.96,5/22/2022,9/29/2022,4.5,24.31,sunny,light,cash,5,112,city streets
06/12/2026,3,7235 Welch Terrace,84 Jenifer Trail,16.33,7.2,2/15/2022,10/15/2022,2.3,7.76,cloudy,heavy,cash,1,529,city streets
06/12/2026,1,240 Kennedy Avenue,32727 Fair Oaks Court,43.99,130.36,7/18/2022,3/28/2022,2.8,25.17,cloudy,heavy,credit card,1,375,city streets
06/12/2026,8,47295 Arkansas Place,706 Clyde Gallagher Crossing,37.87,47.01,8/9/2022,6/12/2022,1.4,57.84,sunny,heavy,mobile payment,5,534,back roads
06/12/2026,3,7 Bonner Point,9 Scoville Drive,16.56,147.62,1/31/2022,10/21/2022,2.9,46.06,sunny,moderate,mobile payment,2,184,city streets
06/12/2026,4,5 Hauk Trail,7 Shasta Alley,17.22,47.51,7/30/2022,7/12/2022,2.8,72.03,cloudy,heavy,mobile payment,4,489,highway
06/12/2026,1,604 Corscot Drive,633 Village Court,23.93,35.12,6/20/2022,4/16/2022,4.3,73.47,snowy,heavy,cash,3,54,back roads
06/12/2026,1,14908 Texas Crossing,53750 Karstens Road,17.6,13.8,8/9/2022,6/30/2022,3.6,63.79,sunny,moderate,cash,1,342,city streets
06/12/2026,9,208 Havey Street,45 Loftsgordon Hill,48.42,35.33,3/28/2022,11/6/2022,2.5,24.22,sunny,light,cash,2,306,city streets
06/12/2026,7,43363 Little Fleur Circle,264 Continental Lane,47.88,32.47,5/22/2022,6/28/2022,2.2,16.46,sunny,moderate,cash,1,150,back roads
06/12/2026,8,224 Maryland Trail,2 Oak Valley Drive,19.54,143.6,8/1/2022,5/30/2022,4.0,94.6,sunny,heavy,credit card,3,235,city streets
06/12/2026,2,1191 Welch Road,82371 Melody Crossing,11.26,144.13,8/21/2022,10/10/2022,4.3,96.5,sunny,moderate,mobile payment,1,310,city streets
06/12/2026,1,84315 Leroy Trail,505 Hintze Parkway,46.8,22.09,4/3/2022,1/29/2022,4.0,29.54,snowy,light,cash,4,594,highway
06/12/2026,3,38 Ramsey Terrace,990 Di Loreto Lane,43.91,35.92,9/3/2022,5/14/2022,3.2,10.6,sunny,moderate,credit card,3,205,city streets
06/12/2026,1,85 Pearson Place,170 Eastlawn Junction,21.5,60.14,3/29/2022,9/8/2022,3.6,34.94,sunny,heavy,cash,4,9,back roads
06/12/2026,3,52 5th Terrace,925 Sachtjen Avenue,0.88,31.86,1/26/2022,5/13/2022,4.9,53.45,snowy,light,credit card,2,16,highway
06/12/2026,5,57302 Longview Parkway,8 Melrose Avenue,23.16,135.75,4/5/2022,4/10/2022,2.8,46.0,cloudy,heavy,credit card,1,495,back roads
06/12/2026,9,22574 Tennyson Way,7948 Reinke Crossing,2.95,72.97,2/27/2022,7/14/2022,4.8,1.73,snowy,moderate,cash,3,401,city streets
06/12/2026,2,3701 Mitchell Place,55042 Lien Trail,10.74,43.85,6/26/2022,9/3/2022,1.1,74.55,sunny,light,cash,2,247,city streets
06/12/2026,9,75 Pierstorff Avenue,74739 Redwing Parkway,4.24,25.25,7/20/2022,7/28/2022,2.0,94.11,sunny,heavy,mobile payment,2,380,city streets
06/12/2026,5,4 Schmedeman Street,00364 Crescent Oaks Alley,22.44,68.04,6/12/2022,9/21/2022,2.9,62.58,cloudy,light,mobile payment,2,38,back roads
06/12/2026,3,09602 Redwing Street,80194 Homewood Point,12.37,6.7,2/25/2022,5/14/2022,1.6,20.9,sunny,light,cash,3,521,highway
06/12/2026,8,88285 Hallows Way,22190 Gerald Crossing,12.11,40.41,6/12/2022,3/31/2022,3.3,16.06,sunny,heavy,credit card,2,228,highway
06/12/2026,7,1 Kinsman Alley,291 Delladonna Circle,4.34,40.8,3/24/2022,7/25/2022,2.5,93.88,snowy,moderate,cash,1,25,highway
06/12/2026,5,3688 Canary Drive,91723 Katie Circle,44.42,63.74,2/20/2022,6/16/2022,1.5,42.08,cloudy,heavy,mobile payment,1,271,back roads
06/12/2026,2,64 Sloan Crossing,465 Kenwood Lane,39.68,140.38,7/10/2022,4/28/2022,4.2,43.47,snowy,light,cash,4,202,back roads
06/12/2026,6,199 Schurz Point,283 Thackeray Point,28.51,53.08,3/13/2022,3/17/2022,3.9,97.78,cloudy,heavy,credit card,3,248,back roads
06/12/2026,5,16998 Golf Course Way,1 Hermina Junction,22.51,27.09,1/4/2022,6/17/2022,4.7,7.66,sunny,light,mobile payment,2,360,highway
06/12/2026,4,888 American Ash Lane,6 Morning Circle,47.51,107.73,3/10/2022,1/16/2022,5.0,96.14,snowy,heavy,credit card,4,253,back roads
06/12/2026,4,20754 Prentice Junction,8638 Sugar Park,38.65,24.2,3/11/2022,7/25/2022,1.6,14.11,sunny,heavy,mobile payment,4,232,highway
06/12/2026,4,1754 Mallory Junction,8112 Sloan Drive,30.16,116.72,3/18/2022,3/28/2022,4.6,10.33,cloudy,heavy,mobile payment,1,375,city streets
06/12/2026,9,58 Duke Drive,34739 Riverside Junction,10.42,103.56,2/19/2022,6/29/2022,4.2,81.93,snowy,light,mobile payment,1,418,highway
06/12/2026,3,07444 Ludington Parkway,55181 Dapin Park,35.45,55.9,1/26/2022,7/10/2022,4.8,93.58,cloudy,heavy,mobile payment,5,13,back roads
06/12/2026,4,50766 Darwin Way,97 Granby Park,35.9,107.88,8/15/2022,7/1/2022,1.9,2.39,snowy,moderate,credit card,4,7,city streets
06/12/2026,1,0 Larry Drive,6795 Sauthoff Place,37.65,81.75,3/3/2022,5/15/2022,3.1,64.38,snowy,heavy,cash,4,295,back roads
06/12/2026,2,87889 Monterey Crossing,84610 Forest Hill,3.39,148.84,7/11/2022,3/5/2022,2.4,63.21,sunny,moderate,mobile payment,5,235,back roads
06/12/2026,6,8 Nova Place,70 Artisan Avenue,13.55,56.1,8/25/2022,9/15/2022,3.3,69.37,snowy,moderate,cash,3,6,highway
06/12/2026,6,807 Logan Lane,3 Commercial Parkway,47.45,138.58,6/21/2022,4/24/2022,3.1,77.4,cloudy,heavy,mobile payment,4,577,city streets
06/12/2026,6,0 Eggendart Drive,5090 Reinke Junction,19.85,142.96,5/24/2022,3/31/2022,4.3,4.78,sunny,moderate,mobile payment,3,398,city streets
06/12/2026,6,3 Fordem Park,011 Saint Paul Point,23.04,80.08,5/27/2022,8/31/2022,1.6,88.72,snowy,heavy,mobile payment,1,544,highway
06/12/2026,8,7398 Rutledge Pass,88 Bashford Junction,37.13,21.61,5/17/2022,1/14/2022,3.0,32.04,cloudy,moderate,mobile payment,2,168,back roads
06/12/2026,5,9930 Fairview Alley,029 Aberg Road,26.33,108.5,4/11/2022,10/4/2022,4.4,47.36,sunny,light,mobile payment,1,364,city streets
06/12/2026,7,16412 Bunker Hill Avenue,88542 Division Parkway,27.61,133.2,9/6/2022,9/29/2022,3.3,63.83,cloudy,heavy,credit card,5,363,back roads
06/12/2026,7,0 Raven Avenue,4 Moulton Terrace,2.17,45.85,2/2/2022,8/5/2022,4.3,2.31,cloudy,heavy,mobile payment,3,460,city streets
06/12/2026,1,0151 Continental Hill,6901 Kings Center,4.41,2.58,7/4/2022,9/15/2022,1.5,63.04,snowy,light,mobile payment,3,402,highway
06/12/2026,5,90 Sullivan Junction,028 Fisk Plaza,47.89,131.04,9/6/2022,6/18/2022,2.4,4.96,sunny,moderate,cash,3,44,highway
06/12/2026,6,35 School Center,4191 Homewood Terrace,24.88,19.53,4/6/2022,9/2/2022,3.3,17.58,cloudy,heavy,mobile payment,3,364,city streets
06/12/2026,9,0611 Fieldstone Plaza,519 Northwestern Alley,27.8,143.26,4/24/2022,9/18/2022,1.3,61.22,cloudy,moderate,credit card,2,72,highway
06/12/2026,6,22 Ruskin Way,62214 Pennsylvania Point,30.59,79.89,4/18/2022,6/17/2022,2.9,71.95,sunny,heavy,credit card,3,83,highway
06/12/2026,2,5 Colorado Circle,84 Crownhardt Place,47.82,110.44,4/2/2022,5/28/2022,3.0,38.64,cloudy,moderate,mobile payment,3,67,highway
06/12/2026,4,5020 Heath Crossing,21837 Caliangt Court,0.24,79.79,5/7/2022,9/10/2022,1.6,69.57,sunny,light,credit card,5,536,city streets
06/12/2026,2,00237 Gale Avenue,156 Hoard Plaza,12.09,126.64,4/2/2022,11/7/2022,3.9,97.84,snowy,heavy,mobile payment,1,362,highway
06/12/2026,9,88709 Corscot Road,5339 Union Court,13.08,114.08,5/4/2022,8/22/2022,4.7,83.73,cloudy,light,credit card,1,599,highway
06/12/2026,5,622 Brickson Park Trail,0937 Hoard Trail,40.79,95.5,2/9/2022,1/19/2022,4.9,42.81,cloudy,light,mobile payment,3,22,back roads
06/12/2026,1,98793 Onsgard Center,11764 Monument Parkway,44.3,6.07,8/12/2022,10/31/2022,4.0,37.81,sunny,light,mobile payment,4,279,back roads
06/12/2026,7,6419 Shopko Point,7878 Barby Junction,5.45,46.05,6/18/2022,8/15/2022,2.9,97.74,snowy,moderate,mobile payment,5,366,back roads
06/12/2026,6,155 Dunning Street,073 Oakridge Crossing,25.22,19.89,8/28/2022,3/3/2022,4.6,23.93,sunny,light,mobile payment,3,100,highway
06/12/2026,2,369 Trailsway Way,0 Susan Drive,49.61,124.57,7/5/2022,8/23/2022,2.6,0.13,snowy,heavy,mobile payment,5,41,highway
06/12/2026,7,45995 Trailsway Trail,254 Transport Point,41.18,22.2,6/1/2022,11/1/2022,1.3,24.72,sunny,light,cash,5,198,city streets
06/12/2026,6,9987 Charing Cross Hill,64 Prairieview Point,35.24,67.02,9/6/2022,2/3/2022,1.1,19.65,snowy,heavy,credit card,5,517,back roads
06/12/2026,4,0607 Kings Center,06592 Fulton Place,49.55,30.91,4/15/2022,1/20/2022,1.0,20.44,snowy,light,credit card,2,128,highway
06/12/2026,3,88157 Morning Drive,8574 Sachs Trail,40.29,28.03,5/20/2022,1/21/2022,4.5,92.4,cloudy,moderate,credit card,3,454,back roads
06/12/2026,8,151 Emmet Lane,760 Pearson Crossing,7.84,38.23,3/12/2022,10/4/2022,3.3,69.88,cloudy,light,credit card,5,289,highway
06/12/2026,1,295 Iowa Place,31 Monterey Avenue,37.11,134.96,1/3/2022,4/13/2022,1.2,68.88,snowy,moderate,credit card,5,1,city streets
06/12/2026,5,8 Sommers Drive,7 Larry Drive,25.85,89.16,2/3/2022,1/20/2022,1.3,42.08,cloudy,moderate,cash,5,221,highway
06/12/2026,9,7314 Bluestem Junction,977 Talisman Avenue,18.29,13.73,8/5/2022,10/4/2022,4.4,57.21,sunny,moderate,cash,4,161,city streets
06/12/2026,8,620 Talmadge Place,2320 North Trail,15.33,24.59,5/11/2022,5/31/2022,4.8,85.03,sunny,light,cash,2,248,city streets
06/12/2026,5,38 Hansons Hill,75 American Lane,13.97,83.03,2/9/2022,4/2/2022,1.5,46.32,sunny,light,credit card,2,58,back roads
06/12/2026,7,121 Tony Lane,798 Orin Lane,47.74,41.09,5/1/2022,6/26/2022,4.4,36.71,cloudy,heavy,mobile payment,3,78,city streets
06/12/2026,9,96195 Mcguire Terrace,683 Towne Plaza,20.56,59.73,9/14/2022,3/17/2022,3.8,21.6,snowy,light,credit card,3,265,city streets
06/12/2026,1,6 Shasta Point,49 Michigan Parkway,25.01,37.9,9/1/2022,3/14/2022,2.7,40.26,cloudy,heavy,cash,3,307,highway
06/12/2026,2,63 Holmberg Drive,9047 Lillian Street,7.93,33.72,2/12/2022,8/13/2022,4.4,18.55,cloudy,moderate,mobile payment,5,91,back roads
06/12/2026,5,19158 Scott Place,79 Tennessee Drive,23.24,148.87,4/30/2022,5/8/2022,2.4,41.04,snowy,heavy,mobile payment,3,485,city streets
06/12/2026,5,07906 Sycamore Crossing,88 Rigney Way,5.58,127.26,1/31/2022,2/15/2022,4.4,13.43,cloudy,moderate,mobile payment,5,551,back roads
06/12/2026,4,56 Jay Street,7152 Warbler Way,17.75,60.12,5/16/2022,6/15/2022,3.0,35.85,sunny,heavy,credit card,3,280,city streets
06/12/2026,9,20661 Westport Hill,40 Fieldstone Lane,1.29,118.14,8/26/2022,7/24/2022,2.8,51.8,sunny,light,credit card,5,315,city streets
06/12/2026,9,9310 Fulton Center,37871 Donald Drive,21.72,63.61,5/19/2022,10/18/2022,3.4,34.74,cloudy,moderate,credit card,5,505,back roads
06/12/2026,3,7771 Utah Avenue,75 Wayridge Point,48.28,77.08,6/2/2022,4/2/2022,4.7,97.64,sunny,light,credit card,1,117,city streets
06/12/2026,8,6753 Lighthouse Bay Junction,765 Carberry Plaza,14.22,100.65,3/1/2022,11/2/2022,3.7,38.04,sunny,moderate,cash,5,39,back roads
06/12/2026,9,01 Morrow Terrace,8 Clarendon Plaza,28.7,35.83,7/31/2022,5/23/2022,2.6,50.56,snowy,moderate,mobile payment,2,267,highway
06/12/2026,5,898 Bartelt Circle,9 Springs Avenue,42.16,101.43,4/23/2022,1/23/2022,3.9,47.06,snowy,light,cash,1,550,highway
06/12/2026,5,95692 Porter Parkway,1 Almo Court,22.16,63.54,7/27/2022,3/4/2022,4.0,73.34,sunny,moderate,cash,4,356,city streets
06/12/2026,9,108 Heffernan Court,215 Victoria Road,3.38,69.48,7/16/2022,8/12/2022,4.7,50.78,cloudy,moderate,mobile payment,5,367,back roads
06/12/2026,5,5 Nova Road,3084 6th Street,26.39,34.48,3/18/2022,2/12/2022,2.6,30.04,cloudy,light,mobile payment,2,248,city streets
06/12/2026,3,7416 Eastwood Parkway,5158 Pine View Center,34.4,56.73,4/10/2022,7/10/2022,1.6,85.47,cloudy,moderate,cash,3,152,back roads
06/12/2026,5,16 West Trail,76 Crowley Center,16.7,91.64,6/27/2022,10/15/2022,2.5,21.12,cloudy,heavy,mobile payment,1,590,city streets
06/12/2026,7,474 Lyons Trail,5 Maywood Junction,33.41,127.39,7/18/2022,1/15/2022,3.3,37.28,cloudy,moderate,mobile payment,1,348,city streets
06/12/2026,4,8992 Melrose Avenue,83396 Blue Bill Park Terrace,19.59,17.3,3/17/2022,3/8/2022,3.5,48.37,cloudy,heavy,cash,1,501,city streets
06/12/2026,6,3812 Anhalt Terrace,0 Jenna Point,40.66,94.92,1/9/2022,5/2/2022,5.0,23.18,cloudy,moderate,cash,1,203,back roads
06/12/2026,4,5 Dahle Alley,859 Manufacturers Circle,26.68,41.41,7/10/2022,9/23/2022,1.7,68.04,cloudy,moderate,mobile payment,3,12,highway
06/12/2026,3,92236 Fordem Center,93584 Atwood Center,15.71,12.98,4/29/2022,9/3/2022,2.3,24.88,sunny,moderate,mobile payment,4,317,back roads
06/12/2026,7,84 Spaight Lane,33641 Jenifer Place,36.39,40.52,6/1/2022,6/10/2022,1.7,77.13,snowy,moderate,credit card,3,176,back roads
06/12/2026,1,3 Red Cloud Pass,2 Basil Center,27.96,126.31,5/29/2022,7/13/2022,4.3,65.78,sunny,heavy,cash,3,373,back roads
06/12/2026,4,47269 Dixon Hill,6898 Warner Center,37.6,15.59,3/26/2022,8/17/2022,4.8,38.56,snowy,heavy,cash,5,114,highway
06/12/2026,6,57867 Farragut Place,4 New Castle Pass,39.01,116.09,5/6/2022,11/2/2022,4.4,29.26,cloudy,heavy,cash,2,29,back roads
06/12/2026,8,34250 Delaware Road,24 Mayfield Place,42.44,16.73,5/21/2022,6/28/2022,2.3,54.73,snowy,moderate,mobile payment,2,54,back roads
06/12/2026,5,60469 Bultman Lane,1242 Mandrake Street,16.34,8.68,6/19/2022,4/15/2022,2.7,79.86,cloudy,moderate,mobile payment,2,67,city streets
06/12/2026,1,4 Barnett Park,4 Summer Ridge Lane,32.36,103.04,5/10/2022,1/22/2022,2.3,49.86,cloudy,heavy,cash,2,519,highway
06/12/2026,3,6960 Scofield Center,3070 Comanche Parkway,10.48,60.88,7/27/2022,8/11/2022,4.1,20.34,snowy,light,mobile payment,4,90,highway
06/12/2026,1,1921 Bultman Drive,0 American Trail,3.25,94.49,7/5/2022,10/3/2022,4.4,38.04,cloudy,light,credit card,1,544,highway
06/12/2026,2,51844 Canary Road,35 Mandrake Park,23.28,87.03,5/26/2022,3/21/2022,2.1,85.58,sunny,heavy,mobile payment,4,76,city streets
06/12/2026,2,81 American Ash Court,124 Dottie Road,32.58,89.43,8/5/2022,6/26/2022,4.2,44.53,sunny,moderate,credit card,1,170,back roads
06/12/2026,9,53783 Charing Cross Court,8704 Mendota Park,24.23,116.85,8/23/2022,10/21/2022,1.2,26.94,cloudy,light,credit card,2,232,highway
06/12/2026,2,61309 Monica Center,3 Elgar Hill,9.9,3.85,9/6/2022,11/6/2022,2.1,9.01,cloudy,heavy,cash,1,177,highway
06/12/2026,2,1 Rieder Avenue,8 Dixon Road,9.45,68.95,6/13/2022,7/20/2022,4.4,59.16,cloudy,moderate,mobile payment,1,474,back roads
06/12/2026,6,4 Becker Drive,566 Fisk Point,49.47,32.65,6/14/2022,10/27/2022,2.5,22.35,sunny,heavy,credit card,4,374,highway
06/12/2026,3,3907 Paget Plaza,789 Kings Alley,21.89,131.78,5/2/2022,7/16/2022,1.7,81.44,snowy,heavy,credit card,4,211,highway
06/12/2026,9,44 Myrtle Avenue,15 Valley Edge Way,20.15,110.54,8/14/2022,6/20/2022,4.3,69.35,sunny,heavy,credit card,2,386,city streets
06/12/2026,9,3 Dahle Plaza,5 Westport Trail,32.46,139.78,3/6/2022,5/31/2022,1.9,91.43,sunny,heavy,mobile payment,5,127,highway
06/12/2026,3,39 Warbler Center,0975 Havey Point,49.14,43.26,9/6/2022,8/26/2022,2.1,40.99,sunny,light,cash,4,450,back roads
06/12/2026,6,728 Lillian Drive,705 Lighthouse Bay Road,14.75,5.48,5/28/2022,4/11/2022,4.5,56.78,snowy,light,credit card,1,419,highway
06/12/2026,1,9 Coleman Parkway,03 Marcy Plaza,23.65,140.92,8/1/2022,5/12/2022,2.6,61.58,cloudy,moderate,credit card,3,282,highway
06/12/2026,9,21 Rockefeller Way,1708 Blue Bill Park Lane,49.8,97.78,2/25/2022,4/30/2022,3.7,83.52,cloudy,light,mobile payment,3,377,back roads
06/12/2026,3,93 Canary Street,032 Northland Street,2.46,1.68,6/8/2022,5/6/2022,2.9,77.33,cloudy,light,mobile payment,1,202,city streets
06/12/2026,5,44 Village Hill,6393 Walton Point,32.33,12.71,1/28/2022,4/11/2022,2.3,42.33,cloudy,heavy,mobile payment,4,407,city streets
06/12/2026,8,364 Dayton Road,21162 Westend Drive,9.82,107.97,5/6/2022,7/23/2022,3.6,63.61,snowy,moderate,credit card,5,68,city streets
06/12/2026,7,42167 Cascade Trail,1 Veith Drive,19.83,20.64,5/17/2022,6/25/2022,1.2,8.97,sunny,heavy,cash,2,190,highway
06/12/2026,3,4 Stone Corner Center,668 Mendota Place,24.36,98.31,8/19/2022,7/17/2022,1.7,3.05,sunny,moderate,mobile payment,5,480,back roads
06/12/2026,3,178 Havey Way,36 Dexter Trail,40.48,47.95,7/22/2022,3/14/2022,4.5,10.1,sunny,light,cash,3,519,back roads
06/12/2026,5,57914 Grayhawk Point,80 Anthes Crossing,11.3,26.09,8/25/2022,7/6/2022,3.5,39.11,cloudy,heavy,cash,5,11,city streets
06/12/2026,4,47 Saint Paul Drive,375 Morningstar Circle,44.85,4.9,3/24/2022,7/3/2022,1.9,23.58,sunny,moderate,credit card,2,109,back roads
06/12/2026,6,0967 Lighthouse Bay Avenue,0728 Main Way,46.46,91.04,6/27/2022,7/9/2022,5.0,38.34,cloudy,light,mobile payment,2,279,highway
06/12/2026,2,7 Waubesa Crossing,39 Hollow Ridge Circle,47.75,52.61,1/19/2022,9/27/2022,1.5,46.99,sunny,heavy,credit card,3,385,city streets
06/12/2026,1,3 Vernon Court,8 Blue Bill Park Pass,12.4,134.58,1/23/2022,8/10/2022,3.5,62.87,sunny,moderate,cash,1,360,city streets
06/12/2026,3,9311 Harbort Alley,580 Sloan Road,24.96,69.78,3/23/2022,1/24/2022,3.4,95.62,snowy,moderate,mobile payment,1,71,city streets
06/12/2026,5,103 Buhler Street,670 Mcguire Circle,31.97,11.9,6/28/2022,5/4/2022,2.3,98.18,cloudy,heavy,credit card,5,198,back roads
06/12/2026,6,803 Waxwing Drive,3 Sherman Point,4.49,131.39,3/28/2022,10/30/2022,1.8,17.31,sunny,heavy,cash,1,7,city streets
06/12/2026,9,8295 Heath Park,184 Dennis Center,40.16,130.54,5/22/2022,3/3/2022,4.8,69.59,snowy,heavy,mobile payment,5,441,highway
06/12/2026,5,8375 Schurz Park,6161 Melby Avenue,9.47,64.29,6/3/2022,3/15/2022,3.5,52.95,cloudy,light,credit card,5,266,highway
06/12/2026,3,0 Derek Place,9 Badeau Crossing,30.98,75.38,6/20/2022,5/8/2022,3.7,22.62,snowy,light,credit card,2,288,highway
06/12/2026,7,2 Stone Corner Center,0 Hoard Alley,40.4,133.23,4/2/2022,2/5/2022,4.1,81.79,snowy,moderate,mobile payment,3,201,city streets
06/12/2026,3,28484 Clove Hill,9683 Helena Circle,25.67,15.96,2/16/2022,6/15/2022,1.1,82.38,sunny,moderate,cash,2,360,city streets
06/12/2026,7,2190 Forest Dale Crossing,8 Fisk Drive,17.25,70.41,7/23/2022,8/12/2022,3.3,37.92,sunny,heavy,mobile payment,5,230,highway
06/12/2026,2,0 Bartelt Center,32 Northfield Court,40.72,62.3,1/31/2022,1/11/2022,3.4,95.49,cloudy,heavy,cash,2,11,back roads
06/12/2026,1,09529 Duke Circle,9 Hagan Center,25.51,123.69,5/15/2022,3/27/2022,1.3,19.62,snowy,moderate,cash,5,510,highway
06/12/2026,6,35 Menomonie Center,18088 Corscot Drive,7.59,139.18,2/8/2022,6/8/2022,1.5,56.7,snowy,heavy,mobile payment,3,93,back roads
06/12/2026,9,6559 Carioca Plaza,85902 Summit Park,32.18,46.96,1/23/2022,5/10/2022,2.6,23.75,sunny,heavy,mobile payment,5,289,highway
06/12/2026,1,336 Hallows Way,2874 Redwing Park,2.62,64.06,6/20/2022,5/27/2022,4.7,58.98,cloudy,heavy,cash,1,114,back roads
06/12/2026,8,759 Iowa Lane,16 Transport Avenue,7.11,4.02,4/1/2022,10/1/2022,2.5,84.39,sunny,moderate,cash,1,449,city streets
06/12/2026,1,64810 Debs Point,6912 Straubel Crossing,23.99,45.22,5/18/2022,3/24/2022,3.5,79.54,sunny,moderate,credit card,4,590,back roads
06/12/2026,6,3979 Bluejay Place,8 Pankratz Circle,21.79,66.21,2/3/2022,10/28/2022,2.9,83.4,cloudy,heavy,mobile payment,4,187,city streets
06/12/2026,5,7 Mitchell Park,4973 Duke Park,11.97,17.91,7/2/2022,10/14/2022,2.0,13.67,cloudy,heavy,cash,4,262,back roads
06/12/2026,6,65886 Talmadge Avenue,484 Dunning Point,4.39,144.15,9/1/2022,8/4/2022,4.1,23.58,sunny,light,mobile payment,3,545,back roads
06/12/2026,5,40 Golf Court,15 West Trail,22.8,14.81,7/10/2022,10/8/2022,2.3,11.71,sunny,moderate,credit card,1,474,back roads
06/12/2026,6,5404 Thompson Way,4282 Holy Cross Terrace,49.35,30.92,4/9/2022,7/7/2022,4.2,19.79,cloudy,heavy,cash,3,166,highway
06/12/2026,8,394 Johnson Terrace,40112 Maryland Plaza,2.86,134.97,8/26/2022,3/11/2022,5.0,94.27,cloudy,heavy,credit card,1,471,city streets
06/12/2026,8,9484 Texas Hill,868 Clarendon Plaza,23.32,111.78,5/18/2022,6/20/2022,4.1,98.21,snowy,heavy,credit card,2,484,city streets
